"GEOID","Row_num","Name","tree_No","tree_Yes","Decision_Tree","forest_No","forest_Yes","Random_Forest","bayes_No","bayes_Yes","Naive_Bayes","new_blocks_xgboost","XGBoost","Agree","Median_Family_Income","Transp_Public_betw2024","Transp_Walked","est_female_25_29","HH_Nonfamily","Transp_Walked_betw1519","Transp_betw2024","HH_Other","HH_Alone","est_male_25_29","CENTLAT","CENTLON"
"170319900000",1,"Block Group 0, Census Tract 9900, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.738,0.262,0,1,2.6507568813447e-35,0,0.164017722010612,0,0,71337,0,0,0,0,0,0,0,0,0,41.9739391,-87.4002947
"170311001001",2,"Block Group 1, Census Tract 1001, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.756,0.244,0,1,2.23187420636635e-30,0,0.0780342072248459,0,0,95000,20,0,0,124,0,20,61,124,126,41.9942117,-87.7853422
"170311002001",3,"Block Group 1, Census Tract 1002, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.812,0.188,0,1,2.2404391473947e-39,0,0.0787041783332825,0,0,79191,0,0,28,354,0,61,68,254,41,41.9991614,-87.787551
"170311003001",4,"Block Group 1, Census Tract 1003, Cook County, Illinois",0.869565217391304,0.130434782608696,0,0.682,0.318,0,1,1.37703193827632e-41,0,0.165020883083344,0,0,127750,0,19,40,148,0,97,0,148,40,41.9849275,-87.7967281
"170311004001",5,"Block Group 1, Census Tract 1004, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.798,0.202,0,1,2.09176882828062e-36,0,0.095798097550869,0,0,106250,0,0,25,134,0,40,16,108,26,41.9943265,-87.8190378
"170311005001",6,"Block Group 1, Census Tract 1005, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.788,0.212,0,1,7.09957592849055e-38,0,0.160219937562943,0,0,98438,0,0,0,144,0,15,0,124,0,41.9807826,-87.8109767
"170311006001",7,"Block Group 1, Census Tract 1006, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.78,0.22,0,1,4.91980101569558e-38,0,0.13251468539238,0,0,111528,0,0,13,152,0,9,34,136,23,41.9799591,-87.7901043
"170311007001",8,"Block Group 1, Census Tract 1007, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.794,0.206,0,1,4.74865287100255e-35,0,0.0355496592819691,0,0,113281,0,0,0,48,0,54,61,40,0,41.9722446,-87.7897593
"170310101001",9,"Block Group 1, Census Tract 101, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.816,0.184,0,1,4.40992318763247e-37,0,0.0330095253884792,0,0,71337,13,14,19,159,0,13,47,159,21,42.0220538,-87.6683629
"170310102011",10,"Block Group 1, Census Tract 102.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.79,0.21,0,1,6.64474250013142e-50,0,0.0202853810042143,0,0,41324,0,0,76,329,0,52,148,228,67,42.0144174,-87.6819482
"170310103001",11,"Block Group 1, Census Tract 103, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.74,0.26,0,1,3.33066752225729e-44,0,0.0408489666879177,0,0,54904,13,14,29,316,0,56,18,201,75,42.01593,-87.665006
"170310104001",12,"Block Group 1, Census Tract 104, Cook County, Illinois",0.933333333333333,0.0666666666666667,0,0.71,0.29,0,1,4.18526753850097e-19,0,0.0514183379709721,0,0,43750,0,39,169,540,10,78,98,398,124,42.0064109,-87.6588157
"170310105011",13,"Block Group 1, Census Tract 105.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.61,0.39,0,1,1.4002611289439e-32,0,0.642792880535126,1,0,71337,0,57,24,447,35,19,64,326,57,42.0094135,-87.6640628
"170310105021",14,"Block Group 1, Census Tract 105.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.666,0.334,0,1,1.04175445048174e-34,0,0.0682747811079025,0,0,42583,0,105,33,396,19,47,26,296,141,42.0034899,-87.6632645
"170310105031",15,"Block Group 1, Census Tract 105.03, Cook County, Illinois",0.625,0.375,0,0.556,0.444,0,1,4.64990597597698e-24,0,0.792152345180511,1,0,71337,15,79,38,546,24,53,29,408,87,41.9993914,-87.6632119
"170310106001",16,"Block Group 1, Census Tract 106, Cook County, Illinois",0.933333333333333,0.0666666666666667,0,0.668,0.332,0,1,5.91527625283858e-44,0,0.0859368890523911,0,0,70995,0,86,51,540,0,44,204,412,99,42.0054662,-87.6680023
