"from_station_id","count...","cust_v_subs","station_name","total_docks","longitude","latitude"
3,26432,3,"Shedd Aquarium",55,-87.61535539,41.867225957
6,17153,2,"Dusable Harbor",39,-87.612813,41.886976
13,15524,0,"Wilton Ave & Diversey Pkwy",35,-87.652705,41.932418
18,16287,0,"Wacker Dr & Washington St",19,-87.637321,41.883132
21,12140,0,"Aberdeen St & Jackson Blvd",23,-87.65478743,41.87772613
24,20602,0,"Fairbanks Ct & Grand Ave",15,-87.620580196,41.891847372
26,20063,0,"McClurg Ct & Illinois St",31,-87.617532,41.890359
31,14523,0,"Franklin St & Chicago Ave",23,-87.635667622,41.896746973
35,67983,3,"Streeter Dr & Grand Ave",47,-87.612043,41.892278
36,19379,0,"Franklin St & Jackson Blvd",39,-87.635321141,41.877707956
38,16075,0,"Clark St & Lake St",27,-87.630876058,41.886020828
43,37696,0,"Michigan Ave & Washington St",43,-87.624683976,41.883984065
44,19768,0,"State St & Randolph St",27,-87.627733569,41.884730201
47,18947,0,"State St & Kinzie St",31,-87.627754,41.889187
48,22721,0,"Larrabee St & Kingsbury St",43,-87.642884,41.897764
49,20493,0,"Dearborn St & Monroe St",39,-87.629520919,41.881319815
50,12127,0,"Clark St & Ida B Wells Dr",35,-87.630584536,41.875932666
51,15751,0,"Clark St & Randolph St",39,-87.63188991,41.884576228
52,22807,0,"Michigan Ave & Lake St",35,-87.624117,41.886024
53,24169,0,"Wells St & Huron St",27,-87.634362,41.894722
56,21957,0,"Desplaines St & Kinzie St",27,-87.644447853,41.888716036
58,14854,0,"Marshfield Ave & Cortland St",23,-87.668879,41.916017
59,19717,0,"Wabash Ave & Roosevelt Rd",23,-87.625961,41.867227
66,23382,0,"Clinton St & Lake St",23,-87.641823,41.885637
67,18056,0,"Sheffield Ave & Fullerton Ave",27,-87.653708042,41.925601882
69,19632,0,"Damen Ave & Pierce Ave",23,-87.677691929,41.909396007
71,17793,0,"Morgan St & Lake St",23,-87.652304856,41.885483308
74,18946,0,"Kingsbury St & Erie St",23,-87.641697228,41.893808056
76,49804,3,"Lake Shore Dr & Monroe St",39,-87.616743,41.880958
77,49908,0,"Clinton St & Madison St",31,-87.641066,41.882242
81,33875,0,"Daley Center Plaza",39,-87.629634,41.884241
84,15315,0,"Milwaukee Ave & Grand Ave",19,-87.648384,41.891578
85,35449,1,"Michigan Ave & Oak St",23,-87.62377664,41.90096039
90,34106,1,"Millennium Park",47,-87.62408432,41.8810317
91,48153,0,"Clinton St & Washington Blvd",31,-87.64117,41.88338
94,21489,0,"Clark St & Armitage Ave",31,-87.636282,41.918306
99,14442,0,"Lake Shore Dr & Ohio St",19,-87.614492,41.89257
100,23944,0,"Orleans St & Merchandise Mart Plaza",35,-87.63639,41.888243
107,13792,0,"Desplaines St & Jackson Blvd",27,-87.643909,41.878287
110,24131,0,"Dearborn St & Erie St",27,-87.629318,41.893992
111,14402,0,"Sedgwick St & Huron St",27,-87.638437,41.894666
112,14079,0,"Green St & Randolph St",15,-87.64867,41.883668
113,14889,0,"Bissell St & Armitage Ave",15,-87.65222,41.91844
114,12131,1,"Sheffield Ave & Waveland Ave",27,-87.654529,41.949399
